Titanic passager,Status,Home Country,Age,Crew or Passenger?,Gender,Class / Department,Ticket Number,Fare Price
"PERKIN, Mr John Henry",Victim,England,22.0,Passenger,Male,3rd Class,21174,£7 5s
"ÅDAHL, Mr Mauritz Nils Martin",Victim,Sweden,30.0,Passenger,Male,3rd Class,7076,£7 5s
"COLBERT, Mr Patrick",Victim,Ireland,24.0,Passenger,Male,3rd Class,371109,£7 5s
"BRAUND, Mr Owen Harris",Victim,England,22.0,Passenger,Male,3rd Class,21171,£7 5s
"LIVSHIN, Mr David (Abraham Harmer)",Victim,England,25.0,Passenger,Male,3rd Class,374887,£7 5s
"WISEMAN, Mr Philippe",Victim,England,54.0,Passenger,Male,3rd Class,34244,£7 5s
"SæTHER, Mr Simon Sivertsen",Victim,Norway,43.0,Passenger,Male,3rd Class,3101262,£7 5s
"CARVER, Mr Alfred John",Victim,England,28.0,Passenger,Male,3rd Class,370160,£7 5s
"LANDERGREN, Miss Aurora Adelia",Survivor,Sweden,22.0,Passenger,Female,3rd Class,7077,£7 5s
"BUCKLEY, Miss Katherine",Victim,Ireland,22.0,Passenger,Female,3rd Class,329944,£7 5s 8d
"OLSEN, Mr Ole Martin",Victim,Norway,27.0,Passenger,Male,3rd Class,265302,£7 6s 3d
"CROSBY, Mrs Catherine Elizabeth",Survivor,United States,64.0,Passenger,Female,1st Class,5735,£71
"CROSBY, Captain Edward Gifford",Victim,United States,70.0,Passenger,Male,1st Class,5735,£71
"CUMINGS, Mrs Florence Briggs",Survivor,Peru,35.0,Passenger,Female,1st Class,17599,£71 5s 8d
"CUMINGS, Mr John Bradley",Victim,United States,39.0,Passenger,Male,1st Class,17599,£71 5s 8d
"DAVIES, Mr Charles Henry",Victim,England,21.0,Passenger,Male,2nd Class,14879,£73 10s
"DEACON, Mr Percy William",Victim,England,20.0,Passenger,Male,2nd Class,14879,£73 10s
"DIBDEN, Mr William",Victim,England,18.0,Passenger,Male,2nd Class,14879,£73 10s
"HICKMAN, Mr Leonard Mark",Victim,England,24.0,Passenger,Male,2nd Class,14879,£73 10s
"HICKMAN, Mr Lewis",Victim,England,30.0,Passenger,Male,2nd Class,14879,£73 10s
"HICKMAN, Mr Stanley George",Victim,England,20.0,Passenger,Male,2nd Class,14879,£73 10s
"HOOD, Mr Ambrose Jr",Victim,England,22.0,Passenger,Male,2nd Class,14879,£73 10s
"MCCAFFRY, Mr Thomas Francis",Victim,Canada,46.0,Passenger,Male,1st Class,13050,£75 4s 10d
"BEATTIE, Mr Thomson",Victim,Canada,36.0,Passenger,Male,1st Class,13050,£75 4s 10d
"WARREN, Mrs Anna Sophia",Survivor,United States,60.0,Passenger,Female,1st Class,110813,£75 5s
"WARREN, Mr Frank Manley",Victim,United States,63.0,Passenger,Male,1st Class,110813,£75 5s
"HARPER, Mr Henry Sleeper",Survivor,United States,48.0,Passenger,Male,1st Class,17572,£76 14s 7d
"HASSAB, Mr Hammad",Survivor,Egypt,27.0,Passenger,Male,1st Class,17572,£76 14s 7d
"HARPER, Mrs Myna",Survivor,United States,49.0,Passenger,Female,1st Class,17572,£76 14s 7d
"BAZZANI, Mrs Albina",Survivor,,36.0,Passenger,Female,1st Class,11813,£76 5s 10d
"BUCKNELL, Mrs Emma Eliza",Survivor,United States,59.0,Passenger,Female,1st Class,11813,£76 5s 10d
"HOGEBOOM, Mrs Anna Louisa",Survivor,United States,51.0,Passenger,Female,1st Class,13502,£77 19s 2d
"ANDREWS, Miss Kornelia Theodosia",Survivor,United States,62.0,Passenger,Female,1st Class,13502,£77 19s 2d
"LONGLEY, Miss Gretchen Fiske",Survivor,United States,21.0,Passenger,Female,1st Class,13502,£77 19s 2d
"WHITE, Mr Percival Wayland",Victim,United States,54.0,Passenger,Male,1st Class,35281,£77 5s 9d
"WHITE, Mr Richard Frasar",Victim,United States,21.0,Passenger,Male,1st Class,35281,£77 5s 9d
"BARBER, Miss Ellen Mary",Survivor,,26.0,Passenger,Female,1st Class,19877,£78 17s
"CAVENDISH, Mrs Julia Florence",Survivor,England,25.0,Passenger,Female,1st Class,19877,£78 17s
"CAVENDISH, Mr Tyrell William",Victim,England,36.0,Passenger,Male,1st Class,19877,£78 17s
"EUSTIS, Miss Elizabeth Mussey",Survivor,United States,54.0,Passenger,Female,1st Class,36947,£78 5s 4d
"STEPHENSON, Mrs Martha",Survivor,France,52.0,Passenger,Female,1st Class,36947,£78 5s 4d
"TAUSSIG, Miss Ruth",Survivor,United States,18.0,Passenger,Female,1st Class,110413,£79 13s
"TAUSSIG, Mrs Tillie",Survivor,United States,39.0,Passenger,Female,1st Class,110413,£79 13s
"TAUSSIG, Mr Emil",Victim,United States,52.0,Passenger,Male,1st Class,110413,£79 13s
"ROSENSHINE, Mr George",Victim,United States,46.0,Passenger,Male,1st Class,17585,£79 4d
"GUGGENHEIM, Mr Benjamin",Victim,France,46.0,Passenger,Male,1st Class,17593,£79 4s
"GIGLIO, Mr Victor Gaitan Andrea",Victim,,23.0,Passenger,Male,1st Class,17593,£79 4s
"FRöLICHER-STEHLI, Mr Maximilian Josef",Survivor,Switzerland,60.0,Passenger,Male,1st Class,13567,£79 4s
"FRöLICHER-STEHLI, Mrs Margaretha Emerentia",Survivor,Switzerland,48.0,Passenger,Female,1st Class,13567,£79 4s
"THOMAS, Mrs Thamine ""Thelma""",Survivor,Lebanon,16.0,Passenger,Female,3rd Class,2625,£8 10s 4d
"THOMAS/TANNOUS, Master Assad Alexander",Survivor,Lebanon,0.42,Passenger,Male,3rd Class,2625,£8 10s 4d
"JOHANSSON, Mr Gustaf Joel",Victim,Sweden,33.0,Passenger,Male,3rd Class,7540,£8 13s 1d
"CACIC, Miss Manda",Victim,Croatia,21.0,Passenger,Female,3rd Class,315087,£8 13s 3d
"CACIC, Miss Marija",Victim,Croatia,30.0,Passenger,Female,3rd Class,315084,£8 13s 3d
"CALIC, Mr Petar",Victim,Croatia,17.0,Passenger,Male,3rd Class,315086,£8 13s 3d
"ORESKOVIC, Miss Marija",Victim,Croatia,20.0,Passenger,Female,3rd Class,315096,£8 13s 3d
"SMILJANIC, Mr Mile",Victim,Croatia,37.0,Passenger,Male,3rd Class,315037,£8 13s 3d
"CACIC, Mr Jego Grga",Victim,Croatia,18.0,Passenger,Male,3rd Class,315091,£8 13s 3d
"CACIC, Mr Luka",Victim,Croatia,38.0,Passenger,Male,3rd Class,315089,£8 13s 3d
"ORESKOVIC, Miss Jelka",Victim,Croatia,23.0,Passenger,Female,3rd Class,315085,£8 13s 3d
"ORESKOVIC, Mr Luka",Victim,Croatia,20.0,Passenger,Male,3rd Class,315094,£8 13s 3d
"PASIC, Mr Jakob",Victim,,21.0,Passenger,Male,3rd Class,315097,£8 13s 3d
"STRILIC, Mr Ivan",Victim,Croatia,27.0,Passenger,Male,3rd Class,315083,£8 13s 3d
"WIRZ, Mr Albert",Victim,Switzerland,27.0,Passenger,Male,3rd Class,315154,£8 13s 3d
"KINK, Mr Vincenz",Victim,Switzerland,26.0,Passenger,Male,3rd Class,315151,£8 13s 3d
"LULIC, Mr Nikola",Survivor,Croatia,29.0,Passenger,Male,3rd Class,315098,£8 13s 3d
"CALIC, Mr Jovo",Victim,Croatia,17.0,Passenger,Male,3rd Class,315093,£8 13s 3d
"CULUMOVIC, Mr Jeso",Victim,Croatia,17.0,Passenger,Male,3rd Class,315090,£8 13s 3d
"DIMIC, Mr Jovan",Victim,Hungary,42.0,Passenger,Male,3rd Class,315088,£8 13s 3d
"KINK, Miss Maria",Victim,Switzerland,22.0,Passenger,Female,3rd Class,315152,£8 13s 3d
"POKRNIC, Mr Mate",Victim,Croatia,17.0,Passenger,Male,3rd Class,315095,£8 13s 3d
"POKRNIC, Mr Tome",Victim,Croatia,24.0,Passenger,Male,3rd Class,315092,£8 13s 3d
"BANSKI, Mrs Mara",Survivor,Hungary,31.0,Passenger,Female,3rd Class,349244,£8 13s 8d
"STANKOVIC, Mr Ivan",Victim,Croatia,33.0,Passenger,Male,3rd Class,349239,£8 13s 9d
"PULNER, Mr Uscher",Victim,,16.0,Passenger,Male,3rd Class,3411,£8 14s 3d
"WILLER, Mr Aaron",Victim,,37.0,Passenger,Male,3rd Class,3410,£8 14s 3d
"HAAS, Miss Aloisia",Victim,Switzerland,24.0,Passenger,Female,3rd Class,349236,£8 17s
"HELLSTRöM, Miss Hilda Maria",Survivor,Sweden,22.0,Passenger,Female,3rd Class,7548,£8 19s 3d
"REYNOLDS, Mr Harold J.",Victim,England,21.0,Passenger,Male,3rd Class,342684,£8 1s
"DROPKIN, Miss Jennie",Survivor,England,24.0,Passenger,Female,3rd Class,392083,£8 1s
"MOORE, Mr Leonard Charles",Victim,United States,19.0,Passenger,Male,3rd Class,54510,£8 1s
"WILLIAMS, Mr Howard Hugh ""Harry""",Victim,Channel Islands,28.0,Passenger,Male,3rd Class,2466,£8 1s
"DAHL, Mr Charles Edward",Survivor,,45.0,Passenger,Male,3rd Class,7598,£8 1s
"FORD, Mr Arthur",Victim,England,22.0,Passenger,Male,3rd Class,1478,£8 1s
"MORLEY, Mr William",Victim,England,34.0,Passenger,Male,3rd Class,364506,£8 1s
"MURDLIN, Mr Joseph",Victim,England,22.0,Passenger,Male,3rd Class,3235,£8 1s
"CHRISTMANN, Mr Emil",Victim,England,29.0,Passenger,Male,3rd Class,343276,£8 1s
"PETERSEN, Mr Marius",Victim,England,24.0,Passenger,Male,3rd Class,342441,£8 1s
"MILES, Mr Frank",Victim,England,23.0,Passenger,Male,3rd Class,359306,£8 1s
"ROUSE, Mr Richard Henry",Victim,England,53.0,Passenger,Male,3rd Class,3594,£8 1s
"SUNDERLAND, Mr Victor Francis",Survivor,England,20.0,Passenger,Male,3rd Class,392089,£8 1s
"GREEN, Mr George [1]",Victim,England,40.0,Passenger,Male,3rd Class,21440,£8 1s
"TöRBER, Mr Ernst Wilhelm",Victim,England,41.0,Passenger,Male,3rd Class,364511,£8 1s
"SAWYER, Mr Frederick Charles",Victim,England,33.0,Passenger,Male,3rd Class,342826,£8 1s
"BARTON, Mr David John",Victim,England,22.0,Passenger,Male,3rd Class,324669,£8 1s
"BEAVAN, Mr William Thomas",Victim,England,18.0,Passenger,Male,3rd Class,323951,£8 1s
"GUEST, Mr Robert",Victim,England,23.0,Passenger,Male,3rd Class,376563,£8 1s
"NIKLASSON, Mr Samuel",Victim,Sweden,28.0,Passenger,Male,3rd Class,363611,£8 1s
"SIMMONS, Mr John",Victim,,39.0,Passenger,Male,3rd Class,392082,£8 1s
"SPECTOR, Mr Woolf",Victim,England,23.0,Passenger,Male,3rd Class,3236,£8 1s
"SPINNER, Mr Henry John",Victim,England,32.0,Passenger,Male,3rd Class,369943,£8 1s
"DORKING, Mr Edward Arthur",Survivor,England,18.0,Passenger,Male,3rd Class,10482,£8 1s
"BROCKLEBANK, Mr William Alfred",Victim,England,35.0,Passenger,Male,3rd Class,364512,£8 1s
"THEOBALD, Mr Thomas Leonard",Victim,England,34.0,Passenger,Male,3rd Class,363294,£8 1s
"DAVIES, Mr Joseph",Victim,England,17.0,Passenger,Male,3rd Class,48873,£8 1s
"HOWARD, Miss May Elizabeth",Survivor,England,27.0,Passenger,Female,3rd Class,39186,£8 1s
"PICKARD, Mr Berk",Survivor,England,32.0,Passenger,Male,3rd Class,392078,£8 1s
"GILINSKI, Mr Eliezer",Victim,Wales,22.0,Passenger,Male,3rd Class,14973,£8 1s
"NANCARROW, Mr William Henry",Victim,England,34.0,Passenger,Male,3rd Class,3338,£8 1s
"THOMPSON, Mr Alexander Morrison",Victim,,36.0,Passenger,Male,3rd Class,32302,£8 1s
"SLOCOVSKI, Mr Selman Francis",Victim,England,20.0,Passenger,Male,3rd Class,392086,£8 1s
"MEANWELL, Mrs Marian",Victim,England,63.0,Passenger,Female,3rd Class,392087,£8 1s
"CANN, Mr Ernest Charles",Victim,England,21.0,Passenger,Male,3rd Class,2152,£8 1s
"DAVIES, Mr Evan",Victim,Wales,22.0,Passenger,Male,3rd Class,23568,£8 1s
"ROGERS, Mr William John",Victim,Wales,29.0,Passenger,Male,3rd Class,23567,£8 1s
"SAUNDERCOCK, Mr William Henry",Victim,England,19.0,Passenger,Male,3rd Class,2151,£8 1s
"WEBBER, Mr James",Victim,United States,66.0,Passenger,Male,3rd Class,3101316,£8 1s
"WARE, Mr Frederick",Victim,England,34.0,Passenger,Male,3rd Class,359309,£8 1s
"MEO (MARTINO), Mr Alfonzo",Victim,England,48.0,Passenger,Male,3rd Class,11206,£8 1s
"KELLY, Mr James [1]",Victim,England,19.0,Passenger,Male,3rd Class,363592,£8 1s
"RUSH, Mr Alfred George John",Victim,England,16.0,Passenger,Male,3rd Class,20589,£8 1s
"STANLEY, Mr Edward Roland",Victim,England,21.0,Passenger,Male,3rd Class,45380,£8 1s
"COHEN, Mr Gurshon ""Gus""",Survivor,England,18.0,Passenger,Male,3rd Class,3540,£8 1s
"TOMLIN, Mr Ernest Portage",Victim,England,22.0,Passenger,Male,3rd Class,364499,£8 1s
"BADMAN, Miss Emily Louisa",Survivor,England,18.0,Passenger,Female,3rd Class,31416,£8 1s
"CELOTTI, Mr Francesco",Victim,,24.0,Passenger,Male,3rd Class,343275,£8 1s
"ROTH, Miss Sarah A.",Survivor,England,26.0,Passenger,Female,3rd Class,342712,£8 1s
"MAISNER, Mr Simon",Victim,England,34.0,Passenger,Male,3rd Class,2816,£8 1s
"SIROTA, Mr Maurice",Victim,England,20.0,Passenger,Male,3rd Class,392092,£8 1s
"ALLEN, Mr William Henry",Victim,England,38.0,Passenger,Male,3rd Class,373450,£8 1s
"MOUTAL, Mr Rahamin Haim",Victim,England,28.0,Passenger,Male,3rd Class,374746,£8 1s
"CORN, Mr Harry",Victim,England,30.0,Passenger,Male,3rd Class,392090,£8 1s
"SHORNEY, Mr Charles Joseph",Victim,England,22.0,Passenger,Male,3rd Class,374910,£8 1s
"PEDUZZI, Mr Giuseppe",Victim,England,24.0,Passenger,Male,3rd Class,2817,£8 1s
"COOK, Mr Jacob",Victim,,43.0,Passenger,Male,3rd Class,3536,£8 1s
"ADAMS, Mr John",Victim,England,26.0,Passenger,Male,3rd Class,341826,£8 1s
"MEEK, Mrs Annie Louise Rowley",Victim,Wales,31.0,Passenger,Female,3rd Class,343095,£8 1s
"SOMERTON, Mr Francis William",Victim,England,31.0,Passenger,Male,3rd Class,18509,£8 1s
"JOHANNESEN, Mr Bernt Johannes",Survivor,Norway,29.0,Passenger,Male,3rd Class,65306,£8 2s 3d
"RASMUSSEN, Mrs Lena Jakobsen",Victim,Norway,63.0,Passenger,Female,3rd Class,65305,£8 2s 3d
"PETERS, Miss Katie",Victim,Ireland,26.0,Passenger,Female,3rd Class,330935,£8 2s 9d
"CREASE, Mr Ernest James",Victim,England,19.0,Passenger,Male,3rd Class,3464,£8 3s 2d
"ALLUM, Mr Owen George",Victim,England,15.0,Passenger,Male,3rd Class,2223,£8 6s
"GRøNNESTAD, Mr Daniel Danielsen",Victim,Norway,32.0,Passenger,Male,3rd Class,8471,£8 6s 15d
"MCGOWAN, Miss Anna ""Annie""",Survivor,Ireland,17.0,Passenger,Female,3rd Class,330923,£8 7d
"OLSEN, Mr Karl Siegwart Andreas",Victim,United States,42.0,Passenger,Male,3rd Class,4579,£8 8s 1d
"KALVIK, Mr Johannes Halvorsen",Victim,Norway,21.0,Passenger,Male,3rd Class,8475,£8 8s 8d
"DOUGHERTY, Mr William John",Victim,Ireland,22.0,Passenger,Male,3rd Class,330877,£8 9s 2d
"ICARD, Miss Rose Amélie",Survivor,,39.0,Passenger,Female,1st Class,113572,£80
"STONE, Mrs Martha Evelyn",Survivor,United States,62.0,Passenger,Female,1st Class,113572,£80
"THORNE, Miss Gertrude Maybelle",Survivor,United States,38.0,Passenger,Female,1st Class,17585,£80 4d
"DODGE, Dr Washington",Survivor,United States,52.0,Passenger,Male,1st Class,33638,£81 17s 2d
"DODGE, Master Washington",Survivor,United States,4.0,Passenger,Male,1st Class,33638,£81 17s 2d
"DODGE, Mrs Ruth",Survivor,United States,34.0,Passenger,Female,1st Class,33638,£81 17s 2d
"MEYER, Mr Edgar Joseph",Victim,United States,28.0,Passenger,Male,1st Class,17604,£82 3s 5d
"MEYER, Mrs Leila",Survivor,United States,25.0,Passenger,Female,1st Class,17604,£82 3s 5d
"SNYDER, Mr John Pillsbury",Survivor,United States,24.0,Passenger,Male,1st Class,21228,£82 5s 4d
"SNYDER, Mrs Nelle",Survivor,United States,23.0,Passenger,Female,1st Class,21228,£82 5s 4d
"EARNSHAW, Mrs Olive",Survivor,United States,23.0,Passenger,Female,1st Class,11767,£83 3s 2d
"COMPTON, Miss Sara Rebecca",Survivor,United States,39.0,Passenger,Female,1st Class,17756,£83 3s 2d
"COMPTON, Mrs Mary Eliza",Survivor,United States,64.0,Passenger,Female,1st Class,17756,£83 3s 2d
"HAYS, Miss Margaret Bechstein",Survivor,United States,24.0,Passenger,Female,1st Class,11767,£83 3s 2d
"POTTER, Mrs Lily Alexenia",Survivor,United States,56.0,Passenger,Female,1st Class,11767,£83 3s 2d
"COMPTON, Mr Alexander Taylor jr",Victim,United States,37.0,Passenger,Male,1st Class,17756,£83 3s 2d
"HARRIS, Mr Henry Birkhardt",Victim,United States,45.0,Passenger,Male,1st Class,36973,£83 9s 6d
"HARRIS, Mrs Irene",Survivor,United States,35.0,Passenger,Female,1st Class,36973,£83 9s 6d
"CHERRY, Miss Gladys",Survivor,England,30.0,Passenger,Female,1st Class,110152,£86 10s
"ROTHES, Lucy Noël Martha, Countess of",Survivor,England,33.0,Passenger,Female,1st Class,110152,£86 10s
"MAIONI, Miss Roberta Elizabeth Mary",Survivor,England,19.0,Passenger,Female,1st Class,110152,£86 10s
"GOLDENBERG, Mr Samuel L.",Survivor,United States,47.0,Passenger,Male,1st Class,17453,£89 2s 1d
"GOLDENBERG, Mrs Nella",Survivor,United States,40.0,Passenger,Female,1st Class,17453,£89 2s 1d
"WAELENS, Mr Achille",Victim,Belgium,22.0,Passenger,Male,3rd Class,345767,£9
"VANDERCRUYSSEN, Mr Victor",Victim,Belgium,46.0,Passenger,Male,3rd Class,345765,£9
"LINHART, Mr Wenzel",Victim,Austria,27.0,Passenger,Male,3rd Class,345775,£9 10s
"DE PELSMAEKER, Mr Alfons",Victim,Belgium,16.0,Passenger,Male,3rd Class,345778,£9 10s
"LIEVENS, Mr René Aimé",Victim,Belgium,24.0,Passenger,Male,3rd Class,345781,£9 10s
"VAN DE VELDE, Mr Johannes Josef",Victim,Belgium,35.0,Passenger,Male,3rd Class,345780,£9 10s
"VAN DEN STEEN, Mr Leo Peter",Victim,Belgium,28.0,Passenger,Male,3rd Class,345783,£9 10s
"VAN MELCKEBEKE, Mr Philemon",Victim,Belgium,23.0,Passenger,Male,3rd Class,345777,£9 10s
"WITTEVRONGEL, Mr Camilius Aloysius",Victim,Belgium,36.0,Passenger,Male,3rd Class,345771,£9 10s
"VANDEWALLE, Mr Nestor Cyriel",Victim,Belgium,28.0,Passenger,Male,3rd Class,345770,£9 10s
"HAMPE, Mr Léon Jérome",Victim,Belgium,19.0,Passenger,Male,3rd Class,345769,£9 10s
"DE MULDER, Mr Theodoor",Survivor,Belgium,30.0,Passenger,Male,3rd Class,345774,£9 10s
"SAP, Mr Julius (""Jules _"")",Survivor,Belgium,21.0,Passenger,Male,3rd Class,345768,£9 10s
"SCHEERLINCK, Mr Jean",Survivor,Belgium,29.0,Passenger,Male,3rd Class,345779,£9 10s
"LAITINEN, Miss Kristina Sofia",Victim,Finland,37.0,Passenger,Female,3rd Class,4135,£9 11s 9d
"TURKULA, Mrs Hedwig",Survivor,Finland,63.0,Passenger,Female,3rd Class,4134,£9 11s 9d
"MYLES, Mr Thomas Francis",Victim,Ireland,63.0,Passenger,Male,2nd Class,240276,£9 13s 9d
"JUSSILA, Miss Katriina",Victim,Finland,20.0,Passenger,Female,3rd Class,4136,£9 16s 10d
"JUSSILA, Miss Mari Aina",Victim,Finland,21.0,Passenger,Female,3rd Class,4137,£9 16s 10d
"TURJA, Miss Anna Sofia",Survivor,Finland,18.0,Passenger,Female,3rd Class,4138,£9 16s 10d
"GUSTAFSSON, Mr Alfred Ossian",Victim,Finland,19.0,Passenger,Male,3rd Class,7534,£9 16s 11d
"STRANDBERG, Miss Ida Sofia",Victim,Finland,22.0,Passenger,Female,3rd Class,7553,£9 16s 9d
"OSéN, Mr Olaf Elon",Victim,Sweden,16.0,Passenger,Male,3rd Class,7534,£9 4s 4d
"ÖDAHL, Mr Nils Martin",Victim,Sweden,23.0,Passenger,Male,3rd Class,7267,£9 4s 6d
"OLSVIGEN, Mr Thor Anderson",Victim,Norway,20.0,Passenger,Male,3rd Class,6563,£9 4s 6d
"SVENSSON, Mr Johan Cervin",Survivor,Sweden,14.0,Passenger,Male,3rd Class,7538,£9 4s 6d
"SALANDER, Mr Karl Johan",Victim,Sweden,24.0,Passenger,Male,3rd Class,7266,£9 6s 6d
"BERGLUND, Mr Karl Ivar Sven",Victim,Finland,22.0,Passenger,Male,3rd Class,4348,£9 7s
"AKS, Master Frank Philip",Survivor,England,0.83,Passenger,Male,3rd Class,392091,£9 7s
"AKS, Mrs Leah",Survivor,England,18.0,Passenger,Female,3rd Class,392091,£9 7s
"AHLIN, Mrs Johanna Persdotter",Victim,Sweden,40.0,Passenger,Female,3rd Class,7546,£9 9s 6d
"LARSSON, Mr August Viktor",Victim,United States,29.0,Passenger,Male,3rd Class,7545,£9 9s 8d
"MINAHAN, Dr William Edward",Victim,United States,44.0,Passenger,Male,1st Class,19928,£90
"MINAHAN, Miss Daisy E.",Survivor,United States,33.0,Passenger,Female,1st Class,19928,£90
"MINAHAN, Mrs Lillian E.",Survivor,United States,37.0,Passenger,Female,1st Class,19928,£90
"BISHOP, Mr Dickinson H.",Survivor,United States,25.0,Passenger,Male,1st Class,11967,£91 1s 7d
"BISHOP, Mrs Helen",Survivor,United States,19.0,Passenger,Female,1st Class,11967,£91 1s 7d
"HAYS, Mr Charles Melville",Victim,Canada,55.0,Passenger,Male,1st Class,12749,£93 10s
"PAYNE, Mr Vivian Ponsonby",Victim,Canada,22.0,Passenger,Male,1st Class,12749,£93 10s
"PERREAULT, Miss Mary Anne",Survivor,Canada,33.0,Passenger,Female,1st Class,12749,£93 10s
"HAYS, Mrs Clara Jennings",Survivor,Canada,52.0,Passenger,Female,1st Class,12749,£93 10s
"BARKER, Mr George [1]",,,46.0,Crew,Male,Deck Crew,,
"BURGESS, Mr Charles",Survivor,England,18.0,Crew,Male,Victualling Crew,,
"JOUGHIN, Mr Charles John",Survivor,England,32.0,Crew,Male,Victualling Crew,,
"NEAL, Mr Bentley Harold",Survivor,England,25.0,Crew,Male,Victualling Crew,,
"BARKER, Mr Albert Vale",Victim,England,19.0,Crew,Male,Victualling Crew,,
"BARNES, Mr Frederick Charles",Victim,England,39.0,Crew,Male,Victualling Crew,,
"CHITTY, Mr George Henry",Victim,England,52.0,Crew,Male,Victualling Crew,,
"FELTHAM, Mr George William",Victim,England,36.0,Crew,Male,Victualling Crew,,
"GILES, Mr John Robert",Victim,England,32.0,Crew,Male,Victualling Crew,,
"HINE, Mr William Edward",Victim,England,36.0,Crew,Male,Victualling Crew,,
"SMITH, Mr James William",Victim,England,24.0,Crew,Male,Victualling Crew,,
"WAKE, Mr Percy",Victim,England,37.0,Crew,Male,Victualling Crew,,
"WEIKMAN, Mr Augustus Henry",Survivor,England,52.0,Crew,Male,Victualling Crew,,
"KLEIN, Mr Herbert",Victim,England,33.0,Crew,Male,Victualling Crew,,
"WHITE, Mr Arthur",Victim,England,37.0,Crew,Male,Victualling Crew,,
"PRICE, Mr Ernest Cyril",Victim,England,17.0,Crew,Male,Restaurant Staff,,
"BARRATT, Mr Arthur",Victim,England,15.0,Crew,Male,Victualling Crew,,
"HARRIS, Mr Clifford Henry",Victim,England,16.0,Crew,Male,Victualling Crew,,
"WATSON, Mr William Albert",Victim,England,14.0,Crew,Male,Victualling Crew,,
"SLOAN, Mr Thomas",,,50.0,Crew,Male,Deck Crew,,
"HAINES, Mr Albert",Survivor,England,31.0,Crew,Male,Deck Crew,,
"NICHOLS, Mr Alfred William Stanley",Victim,England,47.0,Crew,Male,Deck Crew,,
"CHISNALL, Mr George Alexander",Victim,England,36.0,Crew,Male,Engineering Crew,,
"FITZPATRICK, Mr Hugh Joseph",Victim,Northern Ireland,28.0,Crew,Male,Engineering Crew,,
"GUY, Mr Elgar John",Survivor,England,28.0,Crew,Male,Victualling Crew,,
"MILLS, Mr Christopher",Survivor,England,51.0,Crew,Male,Victualling Crew,,
"BARROW, Mr Charles Henry John Barrow",Victim,England,35.0,Crew,Male,Victualling Crew,,
"HENSFORD, Mr Herbert George Ernest",Victim,England,26.0,Crew,Male,Victualling Crew,,
"MAYTUM, Mr Alfred",Victim,England,52.0,Crew,Male,Victualling Crew,,
"PORTEUS, Mr Thomas Henry",Victim,England,32.0,Crew,Male,Victualling Crew,,
"ROBERTS, Mr Frank John",Victim,England,36.0,Crew,Male,Victualling Crew,,
"TOPP, Mr Thomas",Victim,England,28.0,Crew,Male,Victualling Crew,,
"WILLSHER, Mr William Aubrey",Victim,England,33.0,Crew,Male,Victualling Crew,,
"ZARRACCHI, Sig. L.",Victim,England,26.0,Crew,Male,Restaurant Staff,,
"HUTCHINSON, Mr John Hall",Victim,England,26.0,Crew,Male,Deck Crew,,
"MAXWELL, Mr John",Victim,England,31.0,Crew,Male,Deck Crew,,
"SCAVINO, Sig. Candido",Victim,England,42.0,Crew,Male,Restaurant Staff,,
"BOWKER, Miss Ruth",Survivor,England,27.0,Crew,Female,Restaurant Staff,,
"MARTIN, Miss Mabel Elvina",Survivor,England,20.0,Crew,Female,Restaurant Staff,,
"BOCHATAY, Mr Alexis Joseph",Victim,England,30.0,Crew,Male,Victualling Crew,,
"PROCTOR, Mr Charles",Victim,England,45.0,Crew,Male,Victualling Crew,,
"ROUSSEAU, Mr Pierre",Victim,England,49.0,Crew,Male,Restaurant Staff,,
"CARRUTHERS, Mr Francis",,,,Passenger,Male,1st Class,,
"MAUGE, Mr Paul Achille Maurice Germain",Survivor,England,25.0,Crew,Male,Restaurant Staff,,
"ASHCROFT, Mr Austin Aloysius",Victim,England,26.0,Crew,Male,Victualling Crew,,
"CAMPBELL, Mr Donald S.",Victim,England,25.0,Crew,Male,Victualling Crew,,
"GWYNN, Mr William Logan",Victim,United States,37.0,Crew,Male,Victualling Crew,,
"KING, Mr Ernest Waldron",Victim,Ireland,28.0,Crew,Male,Victualling Crew,,
"MARCH, Mr John Starr",Victim,United States,50.0,Crew,Male,Victualling Crew,,
"RICE, Mr John Reginald",Victim,England,25.0,Crew,Male,Victualling Crew,,
"SMITH, Mr John Richard Jago",Victim,,35.0,Crew,Male,Victualling Crew,,
"WILLIAMSON, Mr James Bertram",Victim,Ireland,35.0,Crew,Male,Victualling Crew,,
"WOODY, Mr Oscar Scott",Victim,United States,44.0,Crew,Male,Victualling Crew,,
"FARENDEN, Mr Ernest John",Victim,England,22.0,Crew,Male,Victualling Crew,,
"LEADER, Mr Archibald",Victim,England,22.0,Crew,Male,Victualling Crew,,
"ELLIS, Mr John Bertie",Survivor,England,28.0,Crew,Male,Victualling Crew,,
"MAYNARD, Mr Isaac Hiram",Survivor,England,31.0,Crew,Male,Victualling Crew,,
"WINDEBANK, Mr Alfred Edgar",Survivor,England,38.0,Crew,Male,Victualling Crew,,
"AYLING, Mr Edwin George",Victim,England,22.0,Crew,Male,Victualling Crew,,
"BEDFORD, Mr William Barnett",Victim,England,31.0,Crew,Male,Victualling Crew,,
"BIETRIX, Mr George Baptiste",Victim,England,28.0,Crew,Male,Restaurant Staff,,
"BOLHUIS, Mr Hendrik",Victim,England,27.0,Crew,Male,Restaurant Staff,,
